City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
164,Longyearbyen,SJ,2021-10-30 00:29:32,78.2186,15.6401,26.44,68,20,12.66
165,Hamilton,US,2021-10-30 00:26:14,39.1834,-84.5333,58.05,97,90,1.01
166,Jatiroto,ID,2021-10-30 00:29:33,-7.8833,111.1167,77.83,85,98,4.94
167,Raudeberg,NO,2021-10-30 00:29:33,61.9875,5.1352,54.27,73,100,15.39
168,Mar Del Plata,AR,2021-10-30 00:29:34,-38.0023,-57.5575,62.87,96,20,15.99
169,Mecca,SA,2021-10-30 00:25:16,21.4267,39.8261,80.91,48,0,0.43
170,Roald,NO,2021-10-30 00:28:04,62.5833,6.1333,57.34,54,75,12.66
171,Varkkallai,IN,2021-10-30 00:29:35,8.7341,76.7067,76.78,95,100,0.2
172,Hualmay,PE,2021-10-30 00:29:35,-11.0964,-77.6139,64.47,81,59,11.61
173,Nanortalik,GL,2021-10-30 00:29:36,60.1432,-45.2371,34.14,83,94,6.8
174,Castro,BR,2021-10-30 00:29:36,-24.7911,-50.0119,61.29,94,47,10.85
175,Hirara,JP,2021-10-30 00:29:37,24.8,125.2833,77.27,65,40,5.75
176,Jalu,LY,2021-10-30 00:29:37,29.0331,21.5482,68.05,71,19,9.57
177,Skibbereen,IE,2021-10-30 00:29:38,51.55,-9.2667,44.4,83,47,10.31
178,Bontang,ID,2021-10-30 00:29:38,0.1333,117.5,78.62,85,100,4.12
179,Lorengau,PG,2021-10-30 00:29:39,-2.0226,147.2712,83.55,75,62,5.19
180,Thompson,CA,2021-10-30 00:29:39,55.7435,-97.8558,41.16,75,75,5.75
181,Catamarca,AR,2021-10-30 00:29:40,-28.4696,-65.7852,85.77,45,65,5.01
182,Karratha,AU,2021-10-30 00:29:40,-20.7377,116.8463,77.29,25,0,12.21
183,Shimoda,JP,2021-10-30 00:29:41,34.6667,138.95,62.96,59,56,1.57
184,Cubuk,TR,2021-10-30 00:29:41,40.2386,33.0322,42.76,81,0,10.36
185,Ostrovnoy,RU,2021-10-30 00:27:41,68.0531,39.5131,36.82,97,100,18.97
186,Gari,RU,2021-10-30 00:29:42,59.4307,62.3497,19.87,86,68,8.21
187,Bekhtery,UA,2021-10-30 00:29:43,46.251,32.2927,46.67,84,2,8.28
188,Hargeysa,SO,2021-10-30 00:29:43,9.56,44.065,62.29,68,97,11.56
189,Rawson,AR,2021-10-30 00:28:47,-43.3002,-65.1023,60.73,46,41,5.32
190,Narsaq,GL,2021-10-30 00:29:40,60.9167,-46.05,28.62,76,90,3.83
191,Naron,ES,2021-10-30 00:29:46,43.5167,-8.1528,58.05,88,100,5.99
192,Stromness,GB,2021-10-30 00:29:34,58.965,-3.296,48.87,86,100,14.0
193,Nogliki,RU,2021-10-30 00:29:46,51.8333,143.1667,40.14,68,5,9.31
194,Pisco,PE,2021-10-30 00:29:47,-13.7,-76.2167,62.65,82,0,14.97
195,Sal Rei,CV,2021-10-30 00:29:48,16.1833,-22.9167,77.56,79,90,15.12
196,Burnie,AU,2021-10-30 00:29:48,-41.0667,145.9167,57.92,55,40,13.51
197,Khatanga,RU,2021-10-30 00:29:49,71.9667,102.5,5.02,84,100,8.5
198,Clyde River,CA,2021-10-30 00:29:49,70.4692,-68.5914,26.17,95,100,4.74
199,Kundiawa,PG,2021-10-30 00:29:49,-6.0167,144.9667,77.52,56,66,3.53
200,Bubaque,GW,2021-10-30 00:29:50,11.2833,-15.8333,82.78,71,100,7.05
201,Grand-Lahou,CI,2021-10-30 00:29:51,5.1367,-5.0242,77.86,87,100,8.68
202,Prince Rupert,CA,2021-10-30 00:26:24,54.3161,-130.3201,46.09,71,98,12.66
203,Adrar,MR,2021-10-30 00:29:52,20.5022,-10.0711,76.3,24,99,8.08
204,Yuci,CN,2021-10-30 00:29:52,37.6803,112.7319,38.95,93,1,2.24
205,Ancud,CL,2021-10-30 00:29:53,-41.8697,-73.8203,47.84,76,47,10.85
206,Atambua,ID,2021-10-30 00:29:53,-9.1061,124.8925,83.75,61,63,1.12
207,Sanica,BA,2021-10-30 00:29:54,44.6142,16.6411,30.94,86,2,3.04
208,Butaritari,KI,2021-10-30 00:29:55,3.0707,172.7902,83.39,68,3,15.43
209,Makinsk,KZ,2021-10-30 00:29:55,52.6292,70.4169,15.69,89,98,3.94
210,Clarence Town,AU,2021-10-30 00:29:56,-32.5833,151.7833,73.62,61,20,7.85
211,Bombay,IN,2021-10-30 00:29:56,19.0144,72.8479,80.58,34,20,11.5
